starId,movieId
"nm9423439","ArH207",
"nm9427239","ArH207",
"nm9427397","ArH207",
"nm9426110","RoE10",
"nm9429602","RoE10",
"nm9439569","RoE10",
"nm9425996","RoE10",
"nm9431454","JlC4",
"nm9430677","JlC4",
"nm9425343","JlC4",
"nm9436081","JlC4",
"nm9436082","JlC4",
"nm0","TFd10",
"nm9427786","ArH208",
"nm9426905","ArH208",
"nm9427320","ArH208",
"nm9427018","ArH208",
"nm9426224","ArH208",
"nm9429964","ArH205",
"nm9429964","ArH205",
"nm9429200","RBB10",
"nm9439041","RBB10",
"nm9441133","VyK10",
"nm9441134","VyK10",
"nm9441135","VyK10",
"nm9441136","VyK10",
"nm9429964","VyK10",
"nm9426316","BoS61",
"nm9431360","BoS61",
"nm9424184","BoS61",
"nm9423953","JlC7",
"nm9426042","JlC7",
"nm9429801","JlC7",
"nm9436083","JlC7",
"nm9430771","JlC7",
"nm9430580","JlC7",
"nm9436084","JlC7",
"nm9430677","JlC7",
"nm9436085","JlC7",
"nm9425510","SM1",
"nm9426111","SM1",
"nm9428178","SM1",
"nm9426511","SM1",
"nm9426916","SM1",
"nm9427102","ArH209",
"nm9428979","ArH209",
"nm9425695","ArH209",
"nm9425476","ArH209",
"nm9428930","ArH209",
"nm9431361","BoS62",
"nm9428270","BoS62",
"nm9431362","BoS62",
"nm9431363","BoS62",
"nm9430652","SM3",
"nm9425510","SM3",
"nm9427888","SM3",
"nm9429236","SM3",
"nm9425456","SM3",
"nm9425948","SM3",
"nm9427011","SM3",
"nm9426964","SM3",
"nm9440342","SM3",
"nm9427048","SM3",
"nm9441137","VyK15",
"nm9429964","VyK15",
"nm9429964","VyK15",
"nm0","BbM19",
"nm9425761","SM4",
"nm9427464","SM4",
"nm9423969","SM4",
"nm9427333","SM4",
"nm9429211","SM4",
"nm9423165","SM4",
"nm9426547","SM7",
"nm9424469","SM7",
"nm9427348","SM7",
"nm9426715","SM7",
"nm9430069","SM7",
"nm9427649","SM7",
"nm9427286","SM7",
"nm9430652","SM6",
"nm9426186","SM6",
"nm9428715","SM6",
"nm9427888","SM6",
"nm9426795","SM6",
"nm9429588","SM6",
"nm9440343","SM6",
"nm9425493","SM6",
"nm9429615","RMu50",
"nm9425689","RMu50",
"nm9434575","RMu50",
"nm9441584","xSx10",
"nm0","VyK13",
"nm9427147","SM8",
"nm9428435","SM8",
"nm0","BbM22",
"nm9425082","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9429964","DPo15",
"nm9424353","CBl20",
"nm9429282","RBS15",
"nm9428104","RBS15",
"nm9425273","RBS15",
"nm9430162","RBS15",
"nm9429624","RBS15",
"nm9426780","RBS15",
"nm9425629","RBS15",
"nm9425935","RBS15",
"nm9429971","ILf10",
"nm9435299","ILf10",
"nm9435300","ILf10",
"nm9435301","ILf10",
"nm9435302","ILf10",
"nm9427422","ArH220",
"nm9428993","ArH220",
"nm9429023","ArH220",
"nm9427684","BoS80",
"nm9423664","BoS80",
"nm9429099","BoS80",
"nm9427055","ArH225",
"nm9425551","ArH225",
"nm9426105","ArH225",
"nm9426632","ArH225",
"nm9424765","ArH225",
"nm9427604","EL19",
"nm9432974","EL19",
"nm9432973","EL19",
"nm9426138","EL19",
"nm0","JCw16",
"nm9426113","ArH218",
"nm9427804","ArH218",
"nm9425650","ArH218",
"nm9425879","ArH218",
"nm9425871","ArH218",
"nm9427778","ArH218",
"nm9425857","BoS75",
"nm9429931","BoS75",
"nm9424083","BoS75",
"nm9424981","ArH216",
"nm9423266","ArH216",
"nm9430761","ArH216",
"nm9430762","ArH216",
"nm9430763","ArH216",
"nm9427848","ArH217",
"nm9423991","ArH217",
"nm9429662","ArH217",
"nm9424707","ArH217",
