id,name,birthYear
"nm9429439","Jon VanNess","NULL",
"nm9432247","James Maxwell","NULL",
"nm9434754","Lisa Richards","NULL",
"nm9431268","Howard Nash","NULL",
"nm9435764","Robert Manuel","NULL",
"nm9434443","Doreen Lang","NULL",
"nm9436093","Philippe Leroy","NULL",
"nm9432316","Judi Bowker","NULL",
"nm9432513","Peter Hughes","NULL",
"nm9436595","Daniel Defoe","NULL",
"nm9424391","Wally Cox","1924",
"nm9425652","Kay Hammond","1909",
"nm9441279","John Clemente","NULL",
"nm9437666","Ayumi Ishada","NULL",
"nm9429303","Sidney Toler","1878",
"nm9438372","Jackie Moran","NULL",
"nm9424214","John Clements","1910",
"nm9439328","Andrei Codrescu","NULL",
"nm9439418","Charlotee Rampling","NULL",
"nm9424524","Kim Darby","1947",
"nm9424780","Paul Drake","NULL",
"nm9436688","Marcie Leeds","NULL",
"nm9430824","Jennifer Rubin","NULL",
"nm9433526","Al Fann","NULL",
"nm9430754","Scott McKay","NULL",
"nm9438280","Bithe Neumann","NULL",
"nm9428513","Rita Rudner","NULL",
"nm9427329","Glenn Miller","1904",
"nm9423151","Alan Alda","1936",
"nm9429466","Lupe Velez","1908",
"nm9439520","Terence Knox","NULL",
"nm9437017","Margeret Armstrong","NULL",
"nm9432844","Butch Patrick","NULL",
"nm9425802","Richard Hell","NULL",
"nm9434269","Sharon McManus","NULL",
"nm9437531","Luis Dominguin","NULL",
"nm9431306","David Krumholtz","NULL",
"nm9423136","Muriel Aked","1887",
"nm9427285","Jim Metzler","NULL",
"nm9425382","Kathryn Givney","1897",
"nm9440539","Francois Loyer","NULL",
"nm9432932","Monroe Owsley","NULL",
"nm9437177","Amina Annabi","NULL",
"nm9438201","Pierre Brossman","NULL",
"nm9439972","Karlheinz Boehm","NULL",
"nm9436743","Floyd Red Crow Westerman","NULL",
"nm9425895","Judd Hirsch","1936",
"nm9427589","Mildred Natwick","1908",
"nm9436810","David Stroud","NULL",
"nm9427800","Jennifer ONeill","1947",
"nm9437477","Diana Churchill","NULL",
"nm9425747","Richard Hatch","NULL",
"nm9430283","Halina Labonarska","NULL",
"nm9430742","Eddie Foy~jr","NULL",
"nm9426140","David Janssen","1930",
"nm9427671","Marni Nixon","1929",
"nm9435904","Valentino","NULL",
"nm9430844","Eddie Chandler","NULL",
"nm9429432","Conny VanDyke","NULL",
"nm9436391","Michel Constantine","NULL",
"nm9438335","Kazuko Yoshiyuki","NULL",
"nm9424770","Ned Dowd","NULL",
"nm9435111","Ted Brooks","NULL",
"nm9441487","Richrad Petty","NULL",
"nm9423897","Valerie Burdinelli","1960",
"nm9440314","Wu Fong Lung","NULL",
"nm9434057","Bella Riza","NULL",
"nm9434967","Estelle Getty","NULL",
"nm9423191","Leonora Amar","NULL",
"nm9428496","Norman Rossington","1928",
"nm9430698","Tuncel Kurtiz","NULL",
"nm9426566","Jocelyn Lane","NULL",
"nm9430987","Bill Hunter","NULL",
"nm9431173","Mary Margolis","NULL",
"nm9429106","Elaine Stritch","1926",
"nm9440260","Whilt Bissell","NULL",
"nm9437252","Oliver Gourmet","NULL",
"nm9426910","Marion Mack","NULL",
"nm9437351","Andreas Herder","NULL",
"nm9433001","Yola dAvril","NULL",
"nm9436056","Hank Green","NULL",
"nm9437971","Jorce Brothers","NULL",
"nm9431657","Nicole Berger","NULL",
"nm9434516","Vivian Pickles","NULL",
"nm9440518","Donal OKelly","NULL",
"nm9440985","Christel Holck","NULL",
"nm9433137","Arielle Dombasle","NULL",
"nm9434512","Chazz Palminteri","NULL",
"nm9440049","Michael Chaban","NULL",
"nm9437141","Raymond Griffith","NULL",
"nm9424350","Irwin Corey","NULL",
"nm9440294","Jonas Abry","NULL",
"nm9424847","Peter Dvorsky","NULL",
"nm9424944","Stuart Erwin","1903",
"nm9434481","Frank Holms","NULL",
"nm9440413","Uttam Kumar","NULL",
"nm9431273","Simpson Perez","NULL",
"nm9430248","Gabrielle Rose","NULL",
"nm9439485","R.L. Burnside","NULL",
"nm9440880","Rubin Blades","NULL",
"nm9427356","Liza Minnelli","1946",
"nm9440920","Phillip Seymor Hoffman","NULL",
"nm9430630","Tobey Maguire","NULL",
"nm9435239","Don Cheadle","NULL",
"nm9424479","Arlene Dahl","1924",
"nm9428431","Dany Robin","1927",
"nm9437398","Jill Eisenberry","NULL",
"nm9434038","Peter Hanson","NULL",
"nm9426105","Judith Ivey","NULL",
"nm9433736","Rick Gerzon","NULL",
"nm9429027","Craig Stevens","1918",
"nm9439619","Chads B.","NULL",
"nm9430347","Stephen d. Newman","NULL",
"nm9430745","George Munroe","NULL",
"nm9440054","Jeannette McDonald","NULL",
"nm9427805","David Opatoshu","1918",
"nm9430297","Michel Serrault","NULL",
"nm9430557","Willliam Hurt","NULL",
"nm9439297","Diana Venora","NULL",
"nm9436973","Claude Pieplu","NULL",
"nm9427842","Reginald Owen","1887",
"nm9436876","Margrit Rainer","NULL",
"nm9429377","Elizabeth Turner","NULL",
"nm9430560","Naveen Andrews","NULL",
"nm9425497","Martyn Green","1899",
"nm9438135","Patrizio Roversi","NULL",
"nm9425844","Richard Herd","NULL",
"nm9424697","Mark Dignam","1909",
"nm9433359","Genevieve Casile","NULL",
"nm9435570","Richard Tyson","NULL",
"nm9424390","Ruth Cox","NULL",
"nm9424895","Janet Eilber","NULL",
"nm9430128","Monica Caldwell","NULL",
"nm9423259","Roscoe Arbuckle","1887",
"nm9428977","Barbara Stanwyck","1907",
"nm9434626","Constance Ford","NULL",
"nm9432689","Paul Benjamin","NULL",
"nm9431478","Frank Stallone","NULL",
"nm9439388","Carlton Young","NULL",
"nm9433212","Rob Lowes","NULL",
"nm9433257","Francisco Aliwas","NULL",
"nm9440088","Armin Stahl","NULL",
"nm9429967","Gibson Frazier","NULL",
"nm9440893","Freddie Cunliffe","NULL",
"nm9423100","Jean Adair","1872",
"nm9428344","Ann Richards","1918",
"nm9440727","Herman the Rabbitt","NULL",
"nm9425140","Mike Forrest","NULL",
"nm9431635","Cecil Rathbone","NULL",
"nm9432952","Tony Galento","NULL",
"nm9426491","Joseph Kroner","NULL",
"nm9427419","Demi Moore","NULL",
"nm9429653","Paul Wegener","1874",
"nm9439516","Sorrel Booke","NULL",
"nm9441444","Ray Neal","NULL",
"nm9425863","Geoffrey Hibbert ","1922",
"nm9432291","William Styron","NULL",
"nm9432286","Stephanie Bimead","NULL",
"nm9439549","John Masley","NULL",
"nm9440680","Therese Ann Savoy","NULL",
"nm9433479","Gary Farmer","NULL",
"nm9434720","Betty Garde","NULL",
"nm9436060","Nick Pars","NULL",
"nm9424561","Miles Davis","NULL",
"nm9429706","Ruth White","1914",
"nm9438331","Hal Gordon","NULL",
"nm9433469","Anne Kimbell","NULL",
"nm9438209","David Gulpilil","NULL",
"nm9427794","Shannon ONeil","NULL",
"nm9432688","Sam Peckinpah","NULL",
"nm9433087","Olin Howland","NULL",
"nm9430615","Isacc Hayes","NULL",
"nm9437626","I. Zarubina","NULL",
"nm9430959","Doris Hare","NULL",
